Input problem; BNB; Minimal optimum; BNB: cost; 
400 VMs, 200 PMs; 60.007; 1009; 2.14748e+009; 
400 VMs, 200 PMs; 60.005; 909; 998; 
400 VMs, 200 PMs; 60.005; 989; 1087; 
400 VMs, 200 PMs; 60.005; 900; 1005; 
400 VMs, 200 PMs; 60.005; 928; 1006; 
400 VMs, 200 PMs; 60.005; 1059; 1158; 
400 VMs, 200 PMs; 60.005; 1150; 1230; 
400 VMs, 200 PMs; 60.005; 950; 1036; 
400 VMs, 200 PMs; 60.005; 929; 2.14748e+009; 
400 VMs, 200 PMs; 60.004; 1090; 1170; 

