Input problem; BNB; Minimal optimum; BNB: cost; 
400 VMs, 200 PMs; 60.008; 1360; 1437; 
400 VMs, 200 PMs; 60.007; 1199; 1273; 
400 VMs, 200 PMs; 60.007; 1450; 1525; 
400 VMs, 200 PMs; 60.007; 1319; 1409; 
400 VMs, 200 PMs; 60.006; 1320; 1400; 
400 VMs, 200 PMs; 60.007; 1269; 1350; 
400 VMs, 200 PMs; 60.007; 1390; 1470; 
400 VMs, 200 PMs; 60.007; 1410; 1490; 
400 VMs, 200 PMs; 60.007; 1320; 1400; 
400 VMs, 200 PMs; 60.006; 1409; 1484; 

