Input problem; BNB; Minimal optimum; BNB: cost; 
400 VMs, 200 PMs; 60.007; 1090; 1180; 
400 VMs, 200 PMs; 60.006; 1289; 1370; 
400 VMs, 200 PMs; 60.006; 1129; 1210; 
400 VMs, 200 PMs; 60.006; 1160; 1240; 
400 VMs, 200 PMs; 60.006; 1050; 1130; 
400 VMs, 200 PMs; 60.005; 1259; 2.14748e+009; 
400 VMs, 200 PMs; 60.005; 1250; 1339; 
400 VMs, 200 PMs; 60.005; 1369; 1447; 
400 VMs, 200 PMs; 60.006; 1109; 1192; 
400 VMs, 200 PMs; 60.006; 1170; 1264; 

